Ticker,Company,Ind
BOH,BANK OF HAWAII CORP,RUSSEL 2000
BOOM,DMC Global Inc.,RUSSEL 2000
BOOT,"Boot Barn Holdings, Inc.",RUSSEL 2000
BORR,Borr Drilling Ltd,RUSSEL 2000
BOWL,Bowlero Corp.,RUSSEL 2000
BOX,BOX INC,RUSSEL 2000
BPMC,Blueprint Medicines Corp,RUSSEL 2000
BPRN,"Princeton Bancorp, Inc.",RUSSEL 2000
BRBR,"BELLRING BRANDS, INC.",RUSSEL 2000
BRBS,Blue Ridge Bankshares Inc,RUSSEL 2000
BRCC,BRC Inc.,RUSSEL 2000
BRKL,BROOKLINE BANCORP INC,RUSSEL 2000
BRP,CALERES INC,RUSSEL 2000
BRSP,"BrightSpire Capital, Inc.",RUSSEL 2000
BRT,BRT Apartments Corp.,RUSSEL 2000
BRY,Berry Corp (bry),RUSSEL 2000
BRZE,"Braze, Inc.",RUSSEL 2000
BSIG,BrightSphere Investment Group Inc.,RUSSEL 2000
BSRR,SIERRA BANCORP,RUSSEL 2000
BSVN,Bank7 Corp.,RUSSEL 2000
BTAI,"BioXcel Therapeutics, Inc.",RUSSEL 2000
BTBT,"Bit Digital, Inc",RUSSEL 2000
BTMD,biote Corp.,RUSSEL 2000
BTU,PEABODY ENERGY CORP,RUSSEL 2000
BUSE,FIRST BUSEY CORP /NV/,RUSSEL 2000
BV,"BrightView Holdings, Inc.",RUSSEL 2000
BW,"Babcock & Wilcox Enterprises, Inc.",RUSSEL 2000
BWB,Bridgewater Bancshares Inc,RUSSEL 2000
BWFG,"Bankwell Financial Group, Inc.",RUSSEL 2000
BWMN,Bowman Consulting Group Ltd.,RUSSEL 2000
BXC,BlueLinx Holdings Inc.,RUSSEL 2000
BXMT,"BLACKSTONE MORTGAGE TRUST, INC.",RUSSEL 2000
BY,"BYLINE BANCORP, INC.",RUSSEL 2000
BYND,"BEYOND MEAT, INC.",RUSSEL 2000
BYON,"BEYOND, INC.",RUSSEL 2000
BZH,BEAZER HOMES USA INC,RUSSEL 2000
CABA,"Cabaletta Bio, Inc.",RUSSEL 2000
CAC,CAMDEN NATIONAL CORP,RUSSEL 2000
CADE,Cadence BanCorp,RUSSEL 2000
CAKE,Cheesecake Factory Inc-The,RUSSEL 2000
CAL,CALERES INC,RUSSEL 2000
CALM,CAL-MAINE FOODS INC,RUSSEL 2000
CALX,"CALIX, INC",RUSSEL 2000
CARA,"Cara Therapeutics, Inc.",RUSSEL 2000
CARE,"Carter Bankshares, Inc.",RUSSEL 2000
CARG,"CarGurus, Inc.",RUSSEL 2000
CARM,Carisma Therapeutics Inc.,RUSSEL 2000
CARS,Cars.com Inc.,RUSSEL 2000
CASH,"PATHWARD FINANCIAL, INC.",RUSSEL 2000
CASS,CASS INFORMATION SYSTEMS INC,RUSSEL 2000
CATC,CAMBRIDGE BANCORP,RUSSEL 2000
CATO,CATO CORP,RUSSEL 2000
CATY,CATHAY GENERAL BANCORP,RUSSEL 2000
CBAN,COLONY BANKCORP INC,RUSSEL 2000
CBAY,"CymaBay Therapeutics, Inc.",RUSSEL 2000
CBL,CBL & ASSOCIATES PROPERTIES INC,RUSSEL 2000
CBNK,Capital Bancorp Inc,RUSSEL 2000
CBRL,"CRACKER BARREL OLD COUNTRY STORE, INC",RUSSEL 2000
CBT,CABOT CORP,RUSSEL 2000
CBU,"COMMUNITY BANK SYSTEM, INC.",RUSSEL 2000
CBZ,"CBIZ, Inc.",RUSSEL 2000
CCB,COASTAL FINANCIAL CORP,RUSSEL 2000
CCBG,CAPITAL CITY BANK GROUP INC,RUSSEL 2000
CCNE,CNB FINANCIAL CORP/PA,RUSSEL 2000
CCO,"Clear Channel Outdoor Holdings, Inc.",RUSSEL 2000
CCOI,"COGENT COMMUNICATIONS HOLDINGS, INC.",RUSSEL 2000
CCRD,CoreCard Corp,RUSSEL 2000
CCRN,CROSS COUNTRY HEALTHCARE INC,RUSSEL 2000
CCS,"Century Communities, Inc.",RUSSEL 2000
CCSI,"Consensus Cloud Solutions, Inc.",RUSSEL 2000
CDE,"Coeur Mining, Inc.",RUSSEL 2000
CDLX,"Cardlytics, Inc.",RUSSEL 2000
CDMO,"Avid Bioservices, Inc.",RUSSEL 2000
CDNA,"CareDx, Inc.",RUSSEL 2000
CDP,COPT DEFENSE PROPERTIES,RUSSEL 2000
CDRE,"Cadre Holdings, Inc.",RUSSEL 2000
CDXS,"CODEXIS, INC.",RUSSEL 2000
CDZI,CADIZ INC,RUSSEL 2000
CECO,CECO ENVIRONMENTAL CORP,RUSSEL 2000
CEIX,CONSOL Energy Inc.,RUSSEL 2000
CELC,Celcuity Inc.,RUSSEL 2000
CENT,CENTRAL GARDEN & PET CO,RUSSEL 2000
CENTA,CENTRAL GARDEN & PET CO,RUSSEL 2000
CENX,CENTURY ALUMINUM CO,RUSSEL 2000
CERE,"Cerevel Therapeutics Holdings, Inc.",RUSSEL 2000
CERS,CERUS CORP,RUSSEL 2000
CEVA,CEVA INC,RUSSEL 2000
CFB,"CROSSFIRST BANKSHARES, INC.",RUSSEL 2000
CFFI,C & F FINANCIAL CORP,RUSSEL 2000
CFFN,Capitol Federal Financial Inc,RUSSEL 2000
CGEM,"Cullinan Oncology, Inc.",RUSSEL 2000
CHCO,CITY HOLDING CO,RUSSEL 2000
CHCT,Community Healthcare Trust Inc,RUSSEL 2000
CHEF,"Chefs' Warehouse, Inc.",RUSSEL 2000
CHGG,"CHEGG, INC",RUSSEL 2000
CHMG,CHEMUNG FINANCIAL CORP,RUSSEL 2000
CHRD,Chord Energy Corp,RUSSEL 2000
CHRS,"Coherus BioSciences, Inc.",RUSSEL 2000
CHUY,"CHUY'S HOLDINGS, INC.",RUSSEL 2000
CHX,ChampionX Corp,RUSSEL 2000
CIFR,Cipher Mining Inc.,RUSSEL 2000
CIM,CHIMERA INVESTMENT CORP,RUSSEL 2000
CIO,"City Office REIT, Inc.",RUSSEL 2000
